page,accuracy,topK_hit_rate,total_links
BuzzFeed Food,0.7626762676267627,0.55,922
BuzzFeed,0.7704770477047704,0.8,7547
BuzzFeed Video,0.8042804280428043,0.65,2160
Buy Me That,0.6703670367036704,0.2,595
BuzzFeed Parents,0.7048704870487049,0.25,459
BuzzFeed Australia,0.6872687268726873,0.1,3141
BuzzFeed News,0.6898689868986899,0.3,2234
BuzzFeed Entertainment,0.7175717571757175,0.35,1505
BuzzFeed UK News,0.6579657965796579,0.3,320
BuzzFeed Celeb,0.708070807080708,0.35,1096
Tasty,0.8366836683668367,0.95,866
BuzzFeed Geeky,0.7442744274427443,0.2,261
BuzzFeed Health,0.7222722272227222,0.15,852
BuzzFeed DIY,0.7391739173917392,0.35,807
SOML,0.6297629762976298,0.1,588
BuzzFeed Books,0.6812681268126812,0.05,1135
BuzzFeed Style,0.7350735073507351,0.35,1194
BuzzFeed UK,0.7221722172217222,0.15,2263
Obsessed by BuzzFeed,0.7164716471647165,0.3,825
BuzzFeed Animals,0.6428642864286429,0.1,929
Cocoa Butter,0.6433643364336433,0.1,584
BuzzFeed Unsolved,0.6764676467646765,0.95,19
BuzzFeed Science,0.6292629262926293,0.25,85
Cheeky,0.6914691469146915,0.35,892
BuzzFeed Quiz,0.5816581658165817,0.35,691
BuzzFeed Politics,0.6996699669966997,0.55,189
BuzzFeed LGBT,0.6838683868386839,0.45,169
BuzzFeed Weddings,0.6991699169916992,0.4,275
Bien Tasty,0.6619661966196619,0.6,35
BuzzFeed India,0.6302630263026303,0.05,572
Reasons to Smile,0.9498949894989499,0.25,5
BuzzFeed World,0.6887688768876887,0.45,241
LOLA,0.5925592559255926,0.6,39
Proper Tasty,0.7031703170317032,1.0,24
Nifty,0.5963596359635963,1.0,20
BuzzFeed Tech,0.7132713271327132,1.0,22
